statNm,statId,addr,lat,lng,bnm,busiNm
서울 중랑구 사가정로54길 53 (저압수용가),SF000793,서울특별시 중랑구 사가정로54길 53,37.578702697,127.0872531,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
문정SKV1GL시메트로시티,SF000800,서울특별시 송파구 법원로 128,37.486845633,127.12048997,스타코프,(주)스타코프
에이스하이엔드타워 7차,SF000814,서울특별시 금천구 가산디지털2로 67,37.474221663,126.88108237,스타코프,(주)스타코프
에이스하이엔드타워 7차,SF000814,서울특별시 금천구 가산디지털2로 67,37.474221663,126.88108237,스타코프,(주)스타코프
에이스하이엔드타워 7차,SF000814,서울특별시 금천구 가산디지털2로 67,37.474221663,126.88108237,스타코프,(주)스타코프
에이스하이엔드타워 7차,SF000814,서울특별시 금천구 가산디지털2로 67,37.474221663,126.88108237,스타코프,(주)스타코프
에이스하이엔드타워 7차,SF000814,서울특별시 금천구 가산디지털2로 67,37.474221663,126.88108237,스타코프,(주)스타코프
에이스하이엔드타워 7차,SF000814,서울특별시 금천구 가산디지털2로 67,37.474221663,126.88108237,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (201동-236동),SF000817,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
