`regist_ym`|`fuel_knd_nm`|`vhcle_knd_ty`|`vhcle_prpos_se`|`cnt`|`ldadng_dt`
`201810`|`휘발유`|`특수`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`경유`|`승용`|`비사업용`|`730000`|`2018-12-03 09:44:39`
`201810`|`경유`|`승용`|`사업용`|`12971`|`2018-12-03 09:44:39`
`201810`|`경유`|`승합`|`비사업용`|`86396`|`2018-12-03 09:44:39`
`201810`|`경유`|`승합`|`사업용`|`7560`|`2018-12-03 09:44:39`
`201810`|`경유`|`화물`|`비사업용`|`252963`|`2018-12-03 09:44:39`
`201810`|`경유`|`화물`|`사업용`|`49820`|`2018-12-03 09:44:39`
`201810`|`경유`|`특수`|`비사업용`|`2757`|`2018-12-03 09:44:39`
`201810`|`경유`|`특수`|`사업용`|`4941`|`2018-12-03 09:44:39`
`201810`|`엘피지`|`승용`|`비사업용`|`155637`|`2018-12-03 09:44:39`
`201810`|`엘피지`|`승용`|`사업용`|`85822`|`2018-12-03 09:44:39`
`201810`|`엘피지`|`승합`|`비사업용`|`17099`|`2018-12-03 09:44:39`
`201810`|`엘피지`|`승합`|`사업용`|`98`|`2018-12-03 09:44:39`
`201810`|`엘피지`|`화물`|`비사업용`|`23121`|`2018-12-03 09:44:39`
`201810`|`엘피지`|`화물`|`사업용`|`5764`|`2018-12-03 09:44:39`
`201810`|`엘피지`|`특수`|`비사업용`|`19`|`2018-12-03 09:44:39`
`201810`|`엘피지`|`특수`|`사업용`|`63`|`2018-12-03 09:44:39`
`201810`|`등유`|`승용`|`비사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`등유`|`승용`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`등유`|`승합`|`비사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`등유`|`승합`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`등유`|`화물`|`비사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`등유`|`화물`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`등유`|`특수`|`비사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`등유`|`특수`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`전기`|`승용`|`비사업용`|`4312`|`2018-12-03 09:44:39`
`201810`|`전기`|`승용`|`사업용`|`4280`|`2018-12-03 09:44:39`
`201810`|`전기`|`승합`|`비사업용`|`3`|`2018-12-03 09:44:39`
`201810`|`전기`|`승합`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`전기`|`화물`|`비사업용`|`23`|`2018-12-03 09:44:39`
`201810`|`전기`|`화물`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`전기`|`특수`|`비사업용`|`1`|`2018-12-03 09:44:39`
`201810`|`전기`|`특수`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`알코올`|`승용`|`비사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`알코올`|`승용`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`알코올`|`승합`|`비사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`알코올`|`승합`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`알코올`|`화물`|`비사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`알코올`|`화물`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`알코올`|`특수`|`비사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`알코올`|`특수`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`태양열`|`승용`|`비사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`태양열`|`승용`|`사업용`|`0`|`2018-12-03 09:44:39`
`201810`|`태양열`|`승합`|`비사업용`|`0`|`2018-12-03 09:44:39`
